RemodAge,TotalArea,BsmtExposure,MasVnrArea,GarageType,LotArea,FireplaceQu,Exterior2nd,BsmtQual,TotalFinSF,KitchenQual,Neighborhood,SaleCondition,FullBath,GarageAge,HouseStyle,MSZoning,LandContour,SaleType,GarageFinish,Foundation,GarageCars,WoodDeckSF,OverallScore,LotFrontage,Exterior1st,TotRmsAbvGrd,SalePrice
5,3114,0,196.0,Attchd,8450,0,VinylSd,4,2416,4,CollgCr,Normal,2,5.0,2Story,RL,Lvl,WD,RFn,PConc,2,0,6.3999999999999995,65.0,VinylSd,8,208500
31,2984,3,0.0,Attchd,9600,3,MetalSd,4,2240,3,Veenker,Normal,2,31.0,1Story,RL,Lvl,WD,RFn,CBlock,2,298,6.6,80.0,MetalSd,6,181500
6,3314,1,162.0,Attchd,11250,3,VinylSd,4,2272,4,CollgCr,Normal,2,7.0,2Story,RL,Lvl,WD,RFn,PConc,2,0,6.3999999999999995,68.0,VinylSd,6,223500
36,3115,0,0.0,Detchd,9550,4,Wd Shng,3,1933,4,Crawfor,Abnorml,1,8.0,2Story,RL,Lvl,WD,Unf,BrkTil,3,0,6.3999999999999995,60.0,Wd Sdng,7,140000
8,4179,2,350.0,Attchd,14260,3,VinylSd,4,2853,4,NoRidge,Normal,2,8.0,2Story,RL,Lvl,WD,RFn,PConc,3,192,7.1,84.0,VinylSd,9,250000
14,2638,0,0.0,Attchd,14115,0,VinylSd,4,2094,3,Mitchel,Normal,1,16.0,1.5Fin,RL,Lvl,WD,Unf,Wood,2,40,5.0,85.0,VinylSd,5,143000
2,4016,2,186.0,Attchd,10084,4,VinylSd,5,3063,4,Somerst,Normal,2,3.0,1Story,RL,Lvl,WD,RFn,PConc,2,255,7.1,75.0,VinylSd,7,307000
36,3681,1,240.0,Attchd,10382,3,HdBoard,4,2981,3,NWAmes,Normal,2,36.0,2Story,RL,Lvl,WD,RFn,CBlock,2,235,6.699999999999999,,HdBoard,7,200000
58,3194,0,0.0,Detchd,6120,3,Wd Shng,3,1774,3,OldTown,Abnorml,2,77.0,1.5Fin,RM,Lvl,WD,Unf,BrkTil,2,90,6.3999999999999995,51.0,BrkFace,8,129900
58,2273,0,0.0,Attchd,7420,3,MetalSd,3,1928,3,BrkSide,Normal,1,69.0,1.5Unf,RL,Lvl,WD,RFn,BrkTil,1,0,5.3,50.0,MetalSd,5,118000
43,2464,0,0.0,Detchd,11200,0,HdBoard,3,1946,3,Sawyer,Normal,1,43.0,1Story,RL,Lvl,WD,Unf,CBlock,1,0,5.0,70.0,HdBoard,5,129500
0,4235,0,286.0,BuiltIn,11924,4,Wd Shng,5,3322,5,NridgHt,Partial,3,1.0,2Story,RL,Lvl,New,Fin,PConc,3,147,7.8,85.0,WdShing,11,345000
46,2176,0,0.0,Detchd,12968,0,Plywood,3,1649,3,Sawyer,Normal,1,46.0,1Story,RL,Lvl,WD,Unf,CBlock,1,140,5.3,,HdBoard,4,144000
0,3828,2,306.0,Attchd,10652,4,VinylSd,4,1494,4,CollgCr,Partial,2,1.0,1Story,RL,Lvl,New,RFn,PConc,3,160,6.3999999999999995,91.0,VinylSd,7,279500
48,2858,0,212.0,Attchd,10920,2,MetalSd,3,1986,3,NAmes,Normal,1,48.0,1Story,RL,Lvl,WD,RFn,CBlock,1,0,5.699999999999999,,MetalSd,5,157000
6,2262,0,0.0,Detchd,6120,0,Wd Sdng,3,854,3,BrkSide,Normal,1,16.0,1.5Unf,RM,Lvl,WD,Unf,BrkTil,2,48,7.299999999999999,51.0,Wd Sdng,5,132000
40,2488,0,180.0,Attchd,11241,3,Wd Sdng,3,1582,3,NAmes,Normal,1,40.0,1Story,RL,Lvl,WD,Fin,CBlock,2,0,6.299999999999999,,Wd Sdng,5,149000
39,1812,0,0.0,CarPort,10791,0,MetalSd,0,1296,3,Sawyer,Normal,2,39.0,1Story,RL,Lvl,WD,Unf,Slab,2,0,4.3,72.0,MetalSd,6,90000
4,2804,0,0.0,Detchd,13695,0,VinylSd,3,1760,4,SawyerW,Normal,1,4.0,1Story,RL,Lvl,WD,Unf,PConc,2,0,5.0,66.0,VinylSd,6,159000
44,2662,0,0.0,Attchd,7560,0,Plywood,3,1843,3,NAmes,Abnorml,1,51.0,1Story,RL,Lvl,COD,Unf,CBlock,1,0,5.3,70.0,BrkFace,6,139000
0,4387,2,380.0,BuiltIn,14215,4,VinylSd,5,2376,4,NridgHt,Partial,3,1.0,2Story,RL,Lvl,New,RFn,PConc,3,240,7.1,101.0,VinylSd,9,325300
57,2025,0,0.0,Attchd,7449,4,Wd Sdng,3,1108,4,IDOTRR,Normal,1,77.0,1.5Unf,RM,Bnk,WD,Unf,PConc,1,0,7.0,57.0,Wd Sdng,6,139400
6,4106,0,281.0,Attchd,9742,4,VinylSd,4,1795,4,CollgCr,Normal,2,6.0,1Story,RL,Lvl,WD,RFn,PConc,2,171,7.1,75.0,VinylSd,7,230000
31,2672,0,0.0,Attchd,4224,3,CmentBd,4,1900,3,MeadowV,Normal,1,31.0,1Story,RM,Lvl,WD,Unf,PConc,2,100,5.6,44.0,CemntBd,6,129900
9,2390,1,0.0,Attchd,8246,3,Plywood,3,1916,4,Sawyer,Normal,1,42.0,1Story,RL,Lvl,WD,Unf,CBlock,1,406,5.9,,Plywood,6,154000
2,4056,0,640.0,Attchd,14230,4,VinylSd,4,1600,4,NridgHt,Normal,2,2.0,1Story,RL,Lvl,WD,RFn,PConc,3,0,7.1,110.0,VinylSd,7,256300
10,2376,1,0.0,Detchd,7200,0,Wd Sdng,3,1620,4,NAmes,Normal,1,5.0,1Story,RL,Lvl,WD,Unf,CBlock,2,222,5.6,60.0,Wd Sdng,5,134800
2,4180,0,200.0,Attchd,11478,4,VinylSd,5,2922,4,NridgHt,Normal,2,2.0,1Story,RL,Lvl,WD,RFn,PConc,3,0,7.1,98.0,VinylSd,7,306000
9,3403,3,0.0,Attchd,16321,4,MetalSd,3,2877,3,NAmes,Normal,1,49.0,1Story,RL,Lvl,WD,RFn,CBlock,1,288,5.3,47.0,MetalSd,6,207500
58,1280,0,0.0,Detchd,6324,0,MetalSd,3,520,2,BrkSide,Normal,1,88.0,1Story,RM,Lvl,WD,Unf,BrkTil,1,49,4.6,60.0,MetalSd,4,68500
58,2216,0,0.0,Detchd,8500,0,BrkFace,3,1317,3,IDOTRR,Normal,1,88.0,2Story,C (all),Lvl,WD,Unf,BrkTil,1,0,4.0,50.0,BrkFace,6,40000
2,2727,0,0.0,Attchd,8544,0,HdBoard,3,1228,4,Sawyer,Normal,1,42.0,1Story,RL,Lvl,WD,Unf,CBlock,1,0,5.3,,HdBoard,6,149350
1,2952,2,0.0,Attchd,11049,0,VinylSd,5,1234,4,CollgCr,Normal,2,1.0,1Story,RL,Lvl,WD,RFn,PConc,2,0,7.1,85.0,VinylSd,7,179900
51,3545,0,0.0,Attchd,10552,4,BrkFace,3,2718,4,NAmes,Normal,1,51.0,1Story,RL,Lvl,WD,RFn,CBlock,2,0,5.0,70.0,BrkFace,6,165500
2,3678,0,246.0,Attchd,7313,4,MetalSd,5,2714,5,NridgHt,Normal,2,2.0,1Story,RL,Lvl,WD,Fin,PConc,2,203,7.8,60.0,MetalSd,6,277500
1,4260,2,132.0,BuiltIn,13418,4,VinylSd,5,2452,4,NridgHt,Normal,3,2.0,2Story,RL,Lvl,WD,Fin,PConc,3,113,7.1,108.0,VinylSd,9,309000
14,2866,0,0.0,Attchd,10859,0,VinylSd,4,1097,3,CollgCr,Normal,1,14.0,1Story,RL,Lvl,WD,Unf,PConc,2,392,5.0,112.0,VinylSd,6,145000
19,3092,0,650.0,Attchd,8532,3,Wd Sdng,3,2510,3,NAmes,Normal,1,55.0,1Story,RL,Lvl,WD,Fin,CBlock,2,0,5.3,74.0,Wd Sdng,5,153000
3,2360,0,0.0,Detchd,7922,0,VinylSd,3,1788,4,NAmes,Abnorml,1,57.0,1Story,RL,Lvl,WD,Unf,CBlock,1,0,5.6,68.0,VinylSd,5,109000
53,1152,0,0.0,,6040,0,Plywood,0,1152,2,Edwards,AdjLand,2,,1Story,RL,Lvl,WD,,PConc,0,0,4.3,65.0,AsbShng,6,82000
