MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_NoBasement,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtFinType2_BLQ,BsmtFinType2_GLQ,BsmtFinType2_LwQ,BsmtFinType2_NoBasement,BsmtFinType2_Rec,BsmtFinType2_Unf,TotalPorchSF,TotalArea,LivingToLotRatio,TotalFinSF,RemodAge,GarageAge,IsNew,IsRemodeled,OverallScore,HasFireplace,HasPool,HasGarage,HasBsmt,Has2ndFloor,IsPaved
60,RL,65.0,8450,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,196.0,4,3,PConc,4,3,0,150,GasA,5,Y,SBrkr,0,1,0,2,1,3,1,4,8,Typ,0,Attchd,RFn,2,3,3,Y,0,0,2,WD,Normal,208500,False,True,False,False,False,False,False,False,False,False,False,True,61,3114,0.20236686390532543,2416,5,5.0,0,0,6.3999999999999995,0,0,1,1,1,1
20,RL,80.0,9600,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,0.0,3,3,CBlock,4,3,3,284,GasA,5,Y,SBrkr,0,0,1,2,0,3,1,3,6,Typ,3,Attchd,RFn,2,3,3,Y,298,0,5,WD,Normal,181500,False,False,False,False,False,False,False,False,False,False,False,True,0,2984,0.13145833333333334,2240,31,31.0,0,0,6.6,1,0,1,1,0,1
60,RL,68.0,11250,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,162.0,4,3,PConc,4,3,1,434,GasA,5,Y,SBrkr,0,1,0,2,1,3,1,4,6,Typ,3,Attchd,RFn,2,3,3,Y,0,0,9,WD,Normal,223500,False,True,False,False,False,False,False,False,False,False,False,True,42,3314,0.15875555555555557,2272,6,7.0,0,1,6.3999999999999995,1,0,1,1,1,1
70,RL,60.0,9550,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Shng,0.0,3,3,BrkTil,3,4,0,540,GasA,4,Y,SBrkr,0,1,0,1,0,3,1,4,7,Typ,4,Detchd,Unf,3,3,3,Y,0,0,2,WD,Abnorml,140000,False,False,False,False,False,False,False,False,False,False,False,True,307,3115,0.17979057591623038,1933,36,8.0,0,1,6.3999999999999995,1,0,1,1,1,1
60,RL,84.0,14260,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,350.0,4,3,PConc,4,3,2,490,GasA,5,Y,SBrkr,0,1,0,2,1,4,1,4,9,Typ,3,Attchd,RFn,3,3,3,Y,192,0,12,WD,Normal,250000,False,True,False,False,False,False,False,False,False,False,False,True,84,4179,0.1541374474053296,2853,8,8.0,0,0,7.1,1,0,1,1,1,1
50,RL,85.0,14115,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,0.0,3,3,Wood,4,3,0,64,GasA,5,Y,SBrkr,0,1,0,1,1,1,1,3,5,Typ,0,Attchd,Unf,2,3,3,Y,40,700,10,WD,Normal,143000,False,True,False,False,False,False,False,False,False,False,False,True,350,2638,0.09649309245483528,2094,14,16.0,0,1,5.0,0,0,1,1,1,1
20,RL,75.0,10084,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,186.0,4,3,PConc,5,3,2,317,GasA,5,Y,SBrkr,0,1,0,2,0,3,1,4,7,Typ,4,Attchd,RFn,2,3,3,Y,255,0,8,WD,Normal,307000,False,True,False,False,False,False,False,False,False,False,False,True,57,4016,0.16798889329631098,3063,2,3.0,0,1,7.1,1,0,1,1,0,1
60,RL,,10382,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,240.0,3,3,CBlock,4,3,1,216,GasA,5,Y,SBrkr,0,1,0,2,1,3,1,3,7,Typ,3,Attchd,RFn,2,3,3,Y,235,350,11,WD,Normal,200000,False,False,False,False,False,False,True,False,False,False,False,False,432,3681,0.20130995954536698,2981,36,36.0,0,0,6.699999999999999,1,0,1,1,1,1
50,RM,51.0,6120,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,BrkFace,Wd Shng,0.0,3,3,BrkTil,3,3,0,952,GasA,4,Y,FuseF,0,0,0,2,0,2,2,3,8,Min1,3,Detchd,Unf,2,2,3,Y,90,0,4,WD,Abnorml,129900,False,False,False,False,False,True,False,False,False,False,False,True,205,3194,0.28986928104575166,1774,58,77.0,0,1,6.3999999999999995,1,0,1,1,1,1
190,RL,50.0,7420,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,Gable,CompShg,MetalSd,MetalSd,0.0,3,3,BrkTil,3,3,0,140,GasA,5,Y,SBrkr,0,1,0,1,0,2,2,3,5,Typ,3,Attchd,RFn,1,4,3,Y,0,0,1,WD,Normal,118000,False,True,False,False,False,False,False,False,False,False,False,True,4,2273,0.14514824797843665,1928,58,69.0,0,1,5.3,1,0,1,1,0,1
