BsmtExposure,GarageYrBlt,MasVnrArea,OverallQual,GrLivArea,GarageType,GarageArea,Exterior2nd,1stFlrSF,2ndFlrSF,BsmtQual,FireplaceQu,KitchenQual,Neighborhood,SaleCondition,YearRemodAdd,LandContour,ExterQual,SaleType,GarageFinish,OverallCond,GarageCars,WoodDeckSF,BsmtFinSF1,LotFrontage,YearBuilt,Exterior1st,TotRmsAbvGrd,TotalBsmtSF,SalePrice
0,2003.0,196.0,7,1710,Attchd,548,VinylSd,856,854,4,0,4,CollgCr,Normal,2003,Lvl,4,WD,RFn,5,2,0,706,65.0,2003,VinylSd,8,856,208500
3,1976.0,0.0,6,1262,Attchd,460,MetalSd,1262,0,4,3,3,Veenker,Normal,1976,Lvl,3,WD,RFn,8,2,298,978,80.0,1976,MetalSd,6,1262,181500
1,2001.0,162.0,7,1786,Attchd,608,VinylSd,920,866,4,3,4,CollgCr,Normal,2002,Lvl,4,WD,RFn,5,2,0,486,68.0,2001,VinylSd,6,920,223500
0,1998.0,0.0,7,1717,Detchd,642,Wd Shng,961,756,3,4,4,Crawfor,Abnorml,1970,Lvl,3,WD,Unf,5,3,0,216,60.0,1915,Wd Sdng,7,756,140000
2,2000.0,350.0,8,2198,Attchd,836,VinylSd,1145,1053,4,3,4,NoRidge,Normal,2000,Lvl,4,WD,RFn,5,3,192,655,84.0,2000,VinylSd,9,1145,250000
0,1993.0,0.0,5,1362,Attchd,480,VinylSd,796,566,4,0,3,Mitchel,Normal,1995,Lvl,3,WD,Unf,5,2,40,732,85.0,1993,VinylSd,5,796,143000
2,2004.0,186.0,8,1694,Attchd,636,VinylSd,1694,0,5,4,4,Somerst,Normal,2005,Lvl,4,WD,RFn,5,2,255,1369,75.0,2004,VinylSd,7,1686,307000
1,1973.0,240.0,7,2090,Attchd,484,HdBoard,1107,983,4,3,3,NWAmes,Normal,1973,Lvl,3,WD,RFn,6,2,235,859,,1973,HdBoard,7,1107,200000
0,1931.0,0.0,7,1774,Detchd,468,Wd Shng,1022,752,3,3,3,OldTown,Abnorml,1950,Lvl,3,WD,Unf,5,2,90,0,51.0,1931,BrkFace,8,952,129900
0,1939.0,0.0,5,1077,Attchd,205,MetalSd,1077,0,3,3,3,BrkSide,Normal,1950,Lvl,3,WD,RFn,6,1,0,851,50.0,1939,MetalSd,5,991,118000
0,1965.0,0.0,5,1040,Detchd,384,HdBoard,1040,0,3,0,3,Sawyer,Normal,1965,Lvl,3,WD,Unf,5,1,0,906,70.0,1965,HdBoard,5,1040,129500
0,2005.0,286.0,9,2324,BuiltIn,736,Wd Shng,1182,1142,5,4,5,NridgHt,Partial,2006,Lvl,5,New,Fin,5,3,147,998,85.0,2005,WdShing,11,1175,345000
0,1962.0,0.0,5,912,Detchd,352,Plywood,912,0,3,0,3,Sawyer,Normal,1962,Lvl,3,WD,Unf,6,1,140,737,,1962,HdBoard,4,912,144000
2,2006.0,306.0,7,1494,Attchd,840,VinylSd,1494,0,4,4,4,CollgCr,Partial,2007,Lvl,4,New,RFn,5,3,160,0,91.0,2006,VinylSd,7,1494,279500
0,1960.0,212.0,6,1253,Attchd,352,MetalSd,1253,0,3,2,3,NAmes,Normal,1960,Lvl,3,WD,RFn,5,1,0,733,,1960,MetalSd,5,1253,157000
0,1991.0,0.0,7,854,Detchd,576,Wd Sdng,854,0,3,0,3,BrkSide,Normal,2001,Lvl,3,WD,Unf,8,2,48,0,51.0,1929,Wd Sdng,5,832,132000
0,1970.0,180.0,6,1004,Attchd,480,Wd Sdng,1004,0,3,3,3,NAmes,Normal,1970,Lvl,3,WD,Fin,7,2,0,578,,1970,Wd Sdng,5,1004,149000
0,1967.0,0.0,4,1296,CarPort,516,MetalSd,1296,0,0,0,3,Sawyer,Normal,1967,Lvl,3,WD,Unf,5,2,0,0,72.0,1967,MetalSd,6,0,90000
0,2004.0,0.0,5,1114,Detchd,576,VinylSd,1114,0,3,0,4,SawyerW,Normal,2004,Lvl,3,WD,Unf,5,2,0,646,66.0,2004,VinylSd,6,1114,159000
0,1958.0,0.0,5,1339,Attchd,294,Plywood,1339,0,3,0,3,NAmes,Abnorml,1965,Lvl,3,COD,Unf,6,1,0,504,70.0,1958,BrkFace,6,1029,139000
2,2005.0,380.0,8,2376,BuiltIn,853,VinylSd,1158,1218,5,4,4,NridgHt,Partial,2006,Lvl,4,New,RFn,5,3,240,0,101.0,2005,VinylSd,9,1158,325300
0,1930.0,0.0,7,1108,Attchd,280,Wd Sdng,1108,0,3,4,4,IDOTRR,Normal,1950,Bnk,3,WD,Unf,7,1,0,0,57.0,1930,Wd Sdng,6,637,139400
0,2002.0,281.0,8,1795,Attchd,534,VinylSd,1795,0,4,4,4,CollgCr,Normal,2002,Lvl,4,WD,RFn,5,2,171,0,75.0,2002,VinylSd,7,1777,230000
0,1976.0,0.0,5,1060,Attchd,572,CmentBd,1060,0,4,3,3,MeadowV,Normal,1976,Lvl,3,WD,Unf,7,2,100,840,44.0,1976,CemntBd,6,1040,129900
1,1968.0,0.0,5,1060,Attchd,270,Plywood,1060,0,3,3,4,Sawyer,Normal,2001,Lvl,3,WD,Unf,8,1,406,188,,1968,Plywood,6,1060,154000
0,2007.0,640.0,8,1600,Attchd,890,VinylSd,1600,0,4,4,4,NridgHt,Normal,2007,Lvl,4,WD,RFn,5,3,0,0,110.0,2007,VinylSd,7,1566,256300
1,2005.0,0.0,5,900,Detchd,576,Wd Sdng,900,0,3,0,4,NAmes,Normal,2000,Lvl,3,WD,Unf,7,2,222,234,60.0,1951,Wd Sdng,5,900,134800
0,2008.0,200.0,8,1704,Attchd,772,VinylSd,1704,0,5,4,4,NridgHt,Normal,2008,Lvl,4,WD,RFn,5,3,0,1218,98.0,2007,VinylSd,7,1704,306000
3,1957.0,0.0,5,1600,Attchd,319,MetalSd,1600,0,3,4,3,NAmes,Normal,1997,Lvl,3,WD,RFn,6,1,288,1277,47.0,1957,MetalSd,6,1484,207500
0,1920.0,0.0,4,520,Detchd,240,MetalSd,520,0,3,0,2,BrkSide,Normal,1950,Lvl,3,WD,Unf,6,1,49,0,60.0,1927,MetalSd,4,520,68500
